word_Ni	word_Nj	A(Ni-Nj)
7	18	0.22904729809252866
7	107	0.10386263192309833
9	44	0.35460824815607506
15	72	0.16931049097643205
17	208	0.14984742144531588
18	65	0.10356570687855876
19	69	0.15714555361989338
23	620	0.1365454627614799
24	139	0.1259173297809846
27	263	0.11240897134533824
28	49	0.1000714294544338
29	378	0.11987967331543672
29	504	0.1077282929218236
30	1116	0.13255640902492416
32	252	0.14606686096134433
32	550	0.12508285970048028
32	2421	0.10992770175448403
33	635	0.11730966691241733
35	868	0.11611070372922964
43	186	0.32621269881588666
43	213	0.2234540838045763
50	523	0.10353702241597196
51	204	0.12882956359279393
52	261	0.217245817134186
54	831	0.13275854232447792
55	970	0.13188715506333826
55	2377	0.10605111052194482
58	231	0.10875107271532433
58	604	0.25717659217014793
60	1736	0.1400750084759049
63	849	0.11128261726642044
68	95	0.24617395361550384
70	167	0.14200281154474045
76	1263	0.10897336772631366
77	295	0.32872462730884805
77	675	0.1360441154258508
82	231	0.11138485749465818
83	478	0.11652843678923135
85	89	0.11262485177522236
89	904	0.10310869679728467
96	367	0.24073092547574576
99	515	0.12491934547171928
99	1573	0.10492279288397263
103	196	0.14018653092844233
103	729	0.13191876967278268
106	273	0.1461648148575634
116	146	0.20479654653108376
124	702	0.21370023309786626
126	301	0.11994840021651487
129	256	0.4020547368389095
129	2473	0.11333251594531195
133	289	0.10126205838991802
133	792	0.10839263019637556
134	810	0.2457636567702983
134	1790	0.12512431543863295
139	142	0.1122447875546422
145	299	0.27656553921737953
153	857	0.10123679771270512
165	258	0.25867403744700074
169	872	0.13103522137432272
185	461	0.181358210332018
185	613	0.11272519804840148
187	2337	0.11184400452833353
188	2198	0.14203716246672635
192	213	0.6533558243470499
192	513	0.1399182754587704
197	642	0.1369999451904776
202	1070	0.11860932294942687
212	775	0.11138605268675407
213	455	0.2353575623403232
213	513	0.3412204151886441
213	2189	0.2104100551891404
222	729	0.1143560414804546
227	801	0.13142045405786612
230	1402	0.10742905513333864
233	665	0.10800412248738923
233	1926	0.1799785806668826
235	2162	0.10860767749069976
239	252	0.19842101185649344
242	2393	0.14137005398108166
247	690	0.17407027009212805
252	2154	0.14751565653714688
252	2412	0.12815336637525554
253	2387	0.10209923589173883
254	2026	0.10182233585211332
260	1733	0.19827900200354026
264	410	0.13268603460215905
266	332	0.10458890647022487
266	1937	0.13054347359732066
274	894	0.2485215034964936
277	395	0.11755371612015815
277	1427	0.13347305685135366
284	554	0.18113127377043625
284	1595	0.11095406861384947
291	702	0.12594156048284294
294	1645	0.11348958287176505
300	1252	0.16676924062060955
302	912	0.11152729097362636
304	470	0.24213674366030674
