word_Ni	word_Nj	A(Ni-Nj)
7	18	0.22904729809252866
7	65	0.08421445134320181
7	107	0.10386263192309833
9	44	0.35460824815607506
10	57	0.08656977244611308
11	725	0.09622918006726824
11	1746	0.0924295089784356
12	459	0.08877854213294352
15	72	0.16931049097643205
17	208	0.14984742144531588
17	661	0.0910818616079676
18	65	0.10356570687855876
18	81	0.08854955522476493
19	69	0.15714555361989338
21	45	0.08392554431394801
23	620	0.1365454627614799
24	139	0.1259173297809846
24	393	0.08154078674948598
24	1067	0.08987763429569523
24	1116	0.09635107780950553
25	149	0.09936016522768756
27	263	0.11240897134533824
28	49	0.1000714294544338
29	378	0.11987967331543672
29	504	0.1077282929218236
30	1116	0.13255640902492416
31	265	0.08619071650742291
32	203	0.09951329076457416
32	252	0.14606686096134433
32	357	0.0844419713755711
32	503	0.09239587465407156
32	550	0.12508285970048028
32	606	0.08709270390603377
32	1156	0.09108137514305573
32	1226	0.09748200315173766
32	2421	0.10992770175448403
33	305	0.08380169467678135
33	635	0.11730966691241733
33	722	0.0863322968907077
33	1160	0.08914134393955128
35	868	0.11611070372922964
35	2495	0.08686168332463515
37	280	0.0981660224261913
38	45	0.08119992420623458
43	186	0.32621269881588666
43	213	0.2234540838045763
49	1026	0.0800703664601521
50	523	0.10353702241597196
51	204	0.12882956359279393
52	261	0.217245817134186
53	147	0.08304156396579812
53	429	0.09727976514329248
54	831	0.13275854232447792
55	970	0.13188715506333826
55	986	0.09503714691880068
55	2377	0.10605111052194482
58	231	0.10875107271532433
58	604	0.25717659217014793
60	906	0.08016826324412403
60	1494	0.0961408462537268
60	1736	0.1400750084759049
63	98	0.0830600547860569
63	849	0.11128261726642044
63	1762	0.08329165307232246
68	95	0.24617395361550384
70	167	0.14200281154474045
70	1096	0.08725189759278182
76	1263	0.10897336772631366
77	295	0.32872462730884805
77	452	0.09254730986499243
77	486	0.09457125716805392
77	675	0.1360441154258508
80	98	0.09334087424275866
80	1322	0.08802901914785509
82	231	0.11138485749465818
83	478	0.11652843678923135
85	89	0.11262485177522236
89	320	0.08988646061516628
89	904	0.10310869679728467
94	178	0.08022248338847035
96	263	0.09085457165235802
96	367	0.24073092547574576
99	296	0.08982592308892054
99	515	0.12491934547171928
99	1167	0.08548826014481734
99	1573	0.10492279288397263
100	744	0.09168753877875807
103	196	0.14018653092844233
103	605	0.09643861001317412
103	729	0.13191876967278268
106	273	0.1461648148575634
106	473	0.08821906417776934
107	351	0.08013337761620007
107	1278	0.08921011529684687
110	1149	0.09834307422141694
111	1173	0.09670191074225824
116	146	0.20479654653108376
117	240	0.0834234805015461
117	642	0.0931112769701676
