word_Ni	word_Nj	A(Ni-Nj)
5	6	0.0577244828258551
5	11	0.05233887613420322
6	142	0.05193092867811098
7	18	0.22904729809252866
7	62	0.05050484776452272
7	65	0.08421445134320181
7	107	0.10386263192309833
7	146	0.07756654192772867
7	218	0.05137194350429918
7	446	0.05765891353618888
7	498	0.050396834895638
7	714	0.05482755335182957
7	727	0.061623551240876415
8	45	0.051081548604902084
9	44	0.35460824815607506
10	57	0.08656977244611308
10	410	0.050850624236883295
10	1775	0.056443611852189636
11	198	0.07089506090394741
11	660	0.06221459473066586
11	679	0.05228239557724035
11	725	0.09622918006726824
11	1328	0.06024579995443693
11	1737	0.0746855382235508
11	1746	0.0924295089784356
12	459	0.08877854213294352
13	280	0.06190857870898722
13	413	0.06275061405116805
13	611	0.07161677086820127
13	2087	0.05417397367676095
14	235	0.05858063952612765
14	1008	0.06071636330887755
15	27	0.06682937652418508
15	72	0.16931049097643205
16	265	0.0522384901493023
17	208	0.14984742144531588
17	661	0.0910818616079676
17	1229	0.06596010510538576
18	65	0.10356570687855876
18	81	0.08854955522476493
18	795	0.062239750780951474
18	910	0.0532918580182306
18	1488	0.05714842281778139
19	69	0.15714555361989338
19	2146	0.06860820326014487
20	58	0.07686143436039229
20	76	0.062204581851348036
20	231	0.05550176100522553
21	45	0.08392554431394801
21	1362	0.06666948877090734
22	143	0.05490229221158401
23	593	0.05678719969978405
23	620	0.1365454627614799
24	41	0.05375295629418892
24	54	0.06717112310121072
24	139	0.1259173297809846
24	393	0.08154078674948598
24	694	0.07706555925418226
24	1067	0.08987763429569523
24	1116	0.09635107780950553
24	1574	0.06013288952595625
24	2254	0.07016694352815249
25	59	0.05157241700414951
25	149	0.09936016522768756
25	156	0.07734889148745003
25	193	0.05336878189215175
25	439	0.06705638101183116
25	783	0.05521125905138118
25	1376	0.06455989549074277
26	36	0.07699426075608487
27	72	0.06187738408515595
27	263	0.11240897134533824
27	1157	0.051165635539638994
27	1608	0.054300432668981234
27	2386	0.05039453887174498
28	31	0.06429804631202388
28	49	0.1000714294544338
28	1251	0.057167611307099686
28	2497	0.05970461963530184
29	289	0.07464052754592397
29	378	0.11987967331543672
29	504	0.1077282929218236
29	1105	0.052094363965079805
30	328	0.06468027514285672
30	504	0.06665776899524843
30	540	0.05184044856291138
30	1022	0.05050658919379207
30	1116	0.13255640902492416
30	1843	0.050189989428658495
31	167	0.06757150288367107
31	265	0.08619071650742291
32	203	0.09951329076457416
32	252	0.14606686096134433
32	357	0.0844419713755711
32	463	0.057486094819414676
32	503	0.09239587465407156
32	550	0.12508285970048028
32	593	0.07437319105605235
32	606	0.08709270390603377
32	764	0.06468822449398484
32	1156	0.09108137514305573
32	1226	0.09748200315173766
32	2421	0.10992770175448403
33	305	0.08380169467678135
33	400	0.05908470949116
33	635	0.11730966691241733
33	658	0.06273613548655738
33	722	0.0863322968907077
33	1117	0.05610013985580276
33	1160	0.08914134393955128
33	1270	0.06076665056541504
33	1322	0.060392001080529285
33	1663	0.05718848798978514
33	1971	0.05728679777216855
33	2019	0.06139054299548356
35	54	0.07449741647283377
35	139	0.05248702993286018
35	540	0.07275622467595133
35	868	0.11611070372922964
35	975	0.06323780932243102
35	1056	0.062768223620536
35	2495	0.08686168332463515
37	280	0.0981660224261913
37	1057	0.07095679967549637
37	1437	0.05086272960789096
38	45	0.08119992420623458
39	51	0.07788908026091311
40	358	0.07306912800456755
40	487	0.07880755948658942
40	671	0.06882212325370676
42	43	0.05204977477140181
42	151	0.0574049639905999
43	186	0.32621269881588666
43	213	0.2234540838045763
43	1086	0.07917195344714033
45	196	0.05083751838847275
47	200	0.07984021690653048
47	347	0.05257658098605577
47	468	0.05215017015876207
47	2468	0.053135257883492
49	450	0.05507058200331032
49	1026	0.0800703664601521
50	523	0.10353702241597196
50	735	0.06331520649865169
50	1058	0.05133169096359946
50	1346	0.06481338753315001
50	2079	0.05547968470575744
51	204	0.12882956359279393
52	261	0.217245817134186
53	95	0.058219851788118136
53	147	0.08304156396579812
53	429	0.09727976514329248
54	139	0.06653706275304529
54	652	0.06365635500838984
54	831	0.13275854232447792
54	1123	0.06324214886028535
55	595	0.06982344474228007
55	713	0.0692924573188941
55	792	0.05521165710531819
55	970	0.13188715506333826
55	986	0.09503714691880068
55	2377	0.10605111052194482
58	231	0.10875107271532433
58	604	0.25717659217014793
59	2514	0.0585298988178851
60	906	0.08016826324412403
60	1494	0.0961408462537268
60	1736	0.1400750084759049
60	1841	0.05581056730228171
63	86	0.07074951696192566
63	98	0.0830600547860569
63	392	0.07416367635996662
63	400	0.05288596324997037
63	849	0.11128261726642044
63	1762	0.08329165307232246
64	1744	0.07126581852196442
65	81	0.07416310388077671
66	72	0.0581331975003343
66	1756	0.05002022019859106
68	95	0.24617395361550384
68	332	0.05061005465343603
68	2488	0.05272237614134548
70	167	0.14200281154474045
70	1096	0.08725189759278182
71	721	0.05291813967088803
71	1175	0.05037167782580392
73	608	0.059143093329461466
73	1252	0.06628255022976699
74	1435	0.05603278423853801
76	105	0.05096608781552999
76	1263	0.10897336772631366
77	86	0.06621487475086525
77	295	0.32872462730884805
77	452	0.09254730986499243
77	486	0.09457125716805392
77	675	0.1360441154258508
78	747	0.06185419329554592
80	98	0.09334087424275866
80	635	0.07830211477161665
80	970	0.07734903929870074
80	1098	0.06081587923742034
80	1322	0.08802901914785509
82	100	0.050927726026113576
82	231	0.11138485749465818
82	474	0.06356232665744005
82	794	0.07139366259419701
82	1763	0.05524395830428915
83	309	0.062182345525365924
83	478	0.11652843678923135
84	88	0.05572602685980158
84	749	0.05087885990682068
84	1165	0.0788556739396234
84	1546	0.05102447783570272
84	1963	0.06452587168092598
85	89	0.11262485177522236
85	2313	0.07523844715439856
87	127	0.05129565312712284
89	263	0.07006917446918856
89	320	0.08988646061516628
89	669	0.051683529305227696
89	904	0.10310869679728467
94	178	0.08022248338847035
96	263	0.09085457165235802
96	320	0.05222209109695075
96	367	0.24073092547574576
96	786	0.07343709829569155
96	1899	0.06382309735875276
99	296	0.08982592308892054
99	515	0.12491934547171928
99	958	0.06505172764571138
99	1167	0.08548826014481734
99	1573	0.10492279288397263
99	1641	0.050082402806454214
99	2094	0.05623404048609101
100	744	0.09168753877875807
101	820	0.06310318625445215
103	196	0.14018653092844233
103	605	0.09643861001317412
103	619	0.07719509335853607
103	729	0.13191876967278268
103	1058	0.06984391814194202
103	1966	0.05391305631955748
106	273	0.1461648148575634
106	473	0.08821906417776934
107	351	0.08013337761620007
107	1278	0.08921011529684687
110	1089	0.06672642974701952
110	1149	0.09834307422141694
111	1173	0.09670191074225824
113	618	0.06403289832605052
114	144	0.056162948114490296
114	439	0.05944494603585272
114	663	0.05521484081395636
114	1902	0.050228706498398834
114	2115	0.05356095269922554
116	146	0.20479654653108376
116	714	0.0637519118663243
117	240	0.0834234805015461
117	417	0.05489609765176985
117	642	0.0931112769701676
117	1292	0.0509095771985672
118	240	0.09027626044947974
118	1292	0.057535740922721325
118	1845	0.05092566003268978
119	1410	0.055988519849496834
123	606	0.08682017624648733
123	666	0.05949602605351593
123	667	0.05923131328907502
123	1296	0.05909699615079731
123	1863	0.07620279150595666
124	414	0.055174832126428486
124	702	0.21370023309786626
125	197	0.09626980168616246
125	731	0.07016313135402791
125	1304	0.05427744981577783
126	301	0.11994840021651487
129	256	0.4020547368389095
129	405	0.06658916351298771
129	2473	0.11333251594531195
130	1994	0.07717191384566473
133	289	0.10126205838991802
133	504	0.08548504676338935
133	685	0.05286135958402978
133	792	0.10839263019637556
133	1024	0.0986494950919196
133	1231	0.06011686203086174
133	2019	0.05312402880981353
133	2377	0.06769956022740603
134	616	0.05967130972289466
134	810	0.2457636567702983
134	1395	0.0810065726171453
134	1400	0.05186501542611659
134	1790	0.12512431543863295
134	1972	0.08578754103440449
138	812	0.0563118123890932
139	142	0.1122447875546422
139	354	0.05058389756076248
145	299	0.27656553921737953
147	429	0.09804725517384608
147	1796	0.05387598465779017
150	1224	0.07467397332110748
150	1934	0.08366822852378268
151	563	0.09099336346189624
151	1152	0.05385042072531519
152	1365	0.06635136347796816
153	857	0.10123679771270512
156	439	0.05093430790365838
158	1108	0.07317798988574703
159	2327	0.0891247649163354
160	328	0.056248682119543265
160	504	0.05573506993358799
160	1540	0.09513800761895336
162	2337	0.05095209409565744
165	258	0.25867403744700074
166	666	0.05460857038098976
166	2490	0.06122737575481432
167	1096	0.08956296643863296
168	446	0.0614276930322021
168	1129	0.052875048684528976
169	872	0.13103522137432272
169	1299	0.0559365781502854
172	1781	0.06764903682601509
174	279	0.0666036116716107
178	241	0.05764268642432744
180	223	0.06977660506075076
182	855	0.0945062275387409
183	1482	0.07987769253265457
185	395	0.05643846317143455
185	461	0.181358210332018
185	613	0.11272519804840148
185	1468	0.06484817171035903
185	1831	0.05684255220622101
185	1985	0.0988733963544946
187	2337	0.11184400452833353
188	2198	0.14203716246672635
189	631	0.0970654463231765
189	692	0.0588901035677426
191	618	0.06507010970213523
192	213	0.6533558243470499
192	513	0.1399182754587704
192	2189	0.08808987584982317
193	783	0.0800506486094245
193	1743	0.06240661684608904
194	413	0.07911654426607938
194	1412	0.05236116306552723
194	2460	0.08014261404745243
195	1403	0.060248129770315816
197	642	0.1369999451904776
199	207	0.05161390588008828
199	375	0.07682550214198802
199	547	0.06494446425061565
200	363	0.09113893523706183
202	1070	0.11860932294942687
202	2330	0.06337973570887777
203	252	0.0643392830762718
206	1103	0.0755476289069106
206	1842	0.06571073768878141
212	775	0.11138605268675407
212	888	0.0695390611889439
213	455	0.2353575623403232
213	508	0.053828851288613366
213	513	0.3412204151886441
213	2189	0.2104100551891404
219	563	0.07964824184848082
219	1339	0.056087923205500455
219	1969	0.08604962779324894
222	729	0.1143560414804546
222	751	0.060647775740881635
222	1371	0.06805655656818041
223	1840	0.07273710216562132
227	801	0.13142045405786612
230	1402	0.10742905513333864
232	1152	0.06910240061786269
233	665	0.10800412248738923
233	1926	0.1799785806668826
233	2467	0.07055073609050935
234	417	0.051443557974025785
234	837	0.0959882647529208
235	2162	0.10860767749069976
236	1022	0.09320894632017553
236	1220	0.06685640364771174
236	2024	0.054861732335436855
236	2028	0.051056891186242286
237	978	0.05104545068567377
238	765	0.0653775007041222
239	252	0.19842101185649344
239	1083	0.0955396830143679
241	263	0.052836355876510775
241	1608	0.056687898089171976
242	1128	0.05008661652066503
242	2393	0.14137005398108166
243	1991	0.07561658068150268
247	690	0.17407027009212805
250	2129	0.05291798971169572
252	766	0.05152882714020692
252	809	0.0542943017015513
252	1083	0.05106740819133501
252	2154	0.14751565653714688
252	2412	0.12815336637525554
253	490	0.051078106679650494
253	595	0.0569374360157256
253	1216	0.0748105574725385
253	2088	0.08161222316187962
253	2387	0.10209923589173883
254	2026	0.10182233585211332
255	511	0.050731255051181916
260	1733	0.19827900200354026
262	722	0.07879344262918914
262	849	0.054817407811197566
264	410	0.13268603460215905
266	332	0.10458890647022487
266	489	0.052154320378912766
266	844	0.06475343304151167
266	1937	0.13054347359732066
266	2238	0.05463962213443858
266	2429	0.05287071909095031
267	388	0.09349933423742723
272	2308	0.06736968088558133
274	308	0.06201521740609595
274	894	0.2485215034964936
276	477	0.0590372294038197
276	1893	0.07316473917645899
276	2150	0.05683374073677808
277	362	0.057901356937095014
277	395	0.11755371612015815
277	1427	0.13347305685135366
278	444	0.08390768808063245
278	473	0.054795888834173766
278	2209	0.09577946314831358
282	1092	0.0734916780251531
282	2065	0.0597083318893099
284	554	0.18113127377043625
284	600	0.0716716501271123
284	899	0.07703891448020105
284	1369	0.06654759258174202
284	1595	0.11095406861384947
284	2182	0.07249395908843677
285	740	0.08841981827014025
285	759	0.0595774016660544
286	1488	0.07795017540380067
286	2026	0.05489536832149521
288	626	0.05520112951249863
288	1863	0.05120611841403923
290	577	0.08166523129326493
290	1053	0.058953559033798376
290	1379	0.0885122260102366
290	2505	0.057771136618460124
291	702	0.12594156048284294
294	1645	0.11348958287176505
295	1756	0.0635327111546307
297	835	0.055058158367267435
298	306	0.0640816727641726
300	1252	0.16676924062060955
300	1394	0.056672460147608135
302	912	0.11152729097362636
304	470	0.24213674366030674
304	2098	0.18551696356912306
305	392	0.0709079382295299
305	722	0.07319482587595777
307	2356	0.05374199150732845
308	386	0.05817030457810299
310	387	0.0998423511219288
311	322	0.07296927874239913
311	334	0.6782177023140267
311	480	0.07186340750174325
311	608	0.20920842248705626
312	1379	0.058712820036197766
312	1432	0.0616266898280947
312	1638	0.06760708325899081
313	475	0.07432910871355737
314	1113	0.1263939878252464
314	1451	0.05990453013152858
314	1789	0.14937057126533734
314	2391	0.05213736874746185
318	1260	0.0568343944550914
319	1176	0.06681910712614611
321	645	0.07218448025974132
321	1713	0.1101414887360054
322	480	0.154363691125207
322	608	0.12836184796462655
324	601	0.05390893514668856
327	904	0.06419906180365934
329	1036	0.0644530186784643
331	1625	0.06503821836933901
333	635	0.1886249730722669
333	658	0.055352537480971915
334	480	0.05541952424208132
334	608	0.11812646535748528
336	2216	0.054128745334747895
338	471	0.0755015810438627
338	641	0.05945000581806206
338	1324	0.06448028232331462
338	2448	0.052372940291313536
339	1021	0.05184195399891792
340	1135	0.08300581803727854
341	1046	0.13041739134894406
341	1403	0.06601113492937767
342	688	0.10953454187732944
344	1240	0.09856521626791034
345	679	0.19807427808580727
347	1103	0.12945691441937
348	638	0.05793933358802785
350	811	0.05898266472457035
350	897	0.09758643111289687
350	2060	0.19934743606526587
351	2082	0.08790683773040332
351	2111	0.05591543183633189
352	1103	0.05423284102950661
354	1215	0.05754192220181071
355	1032	0.17847583100123576
355	1139	0.05275922920821628
355	1314	0.08586608254594813
355	2035	0.055501545821383134
355	2213	0.05303438067821565
359	760	0.08575618107901671
359	1328	0.07400549361994735
361	641	0.09803978808937712
362	369	0.06216394017335289
364	439	0.10553454532435648
364	1956	0.08140151739543065
367	1564	0.06736205732432711
367	1791	0.11106705637984997
368	1447	0.05017109101126662
368	2239	0.10638144264417396
369	666	0.05195593407697891
369	1999	0.08744112645109338
370	399	0.08245097029650922
370	529	0.11437615425876213
377	836	0.07554419960925204
377	896	0.07651557185239985
380	498	0.06123269812754629
380	879	0.07510952058648904
380	2358	0.0963169709703934
382	637	0.0811076466240277
386	1006	0.061020742051128764
387	1702	0.06504007003964038
387	1717	0.0583381342731797
387	2105	0.05434931012944709
394	589	0.08169234456401624
397	481	0.066136001612695
399	905	0.08098199731573237
399	1230	0.0590632589530494
401	477	0.0589254640607899
402	2369	0.07294468387925478
403	1455	0.07082591418301931
404	1639	0.14505385381492822
404	2326	0.14004212716406242
405	1535	0.07077669627138009
406	1742	0.2142540070388352
407	1590	0.05847223209383761
413	2067	0.12260485130616418
413	2155	0.08859332663133537
414	512	0.5748004511479036
414	1612	0.1413279806599917
415	873	0.054228318583284134
416	2437	0.061737936327531
418	474	0.09271744822307178
419	712	0.1274544794968694
419	1047	0.050731725889964316
420	430	0.0600647139219312
420	1450	0.05426146277475827
424	734	0.10271611064810672
424	1938	0.050532383847295456
424	1955	0.057720934838154526
425	996	0.06550987683531809
426	451	0.05522595836630774
426	752	0.06121230842677504
430	526	0.07068360790712318
441	1563	0.051834684439056894
442	1050	0.0856177344870507
445	1063	0.0678163995428831
445	2408	0.0773810364097213
446	2218	0.09137898223323784
448	563	0.0613768749540435
451	1696	0.0749462472556869
453	606	0.05552556124464975
455	508	0.5980678328829092
455	513	0.4228798696649228
455	2189	0.2903887038585716
457	2218	0.0972867218217998
457	2476	0.05028959544105622
463	2167	0.08034596308086349
464	2136	0.055076536823087455
467	876	0.05499460179894262
467	1545	0.05230091578145121
469	568	0.05882622343796039
470	2098	0.12961451181055514
471	1896	0.12067785040365812
473	844	0.06140384404515841
473	1276	0.0999192020302802
477	2328	0.08105569553230756
485	1893	0.20611091209609367
485	2313	0.060048354687943575
485	2328	0.0757130811201129
485	2511	0.08204217814400495
489	1265	0.08106829142908889
490	905	0.1982470015978094
490	1128	0.05317653815676611
490	1869	0.16024091615405367
490	2402	0.09435811019232952
491	936	0.09255962360183692
492	1790	0.06306255188034497
493	1570	0.09715336077668173
494	601	0.09469870812225817
494	1414	0.25031130545863683
494	1510	0.1229470581205909
497	545	0.05493328259369935
499	873	0.09410851830381536
500	1528	0.21383405358030624
501	1711	0.05022975580284565
502	1109	0.05414781296323818
504	1022	0.1794795931790809
510	2390	0.07382347129756893
512	702	0.0914070839621636
514	1765	0.09143056005358012
514	1788	0.15149460342729773
522	2435	0.057432069521197726
525	2083	0.05004782964868852
527	559	0.05985911693256703
528	1240	0.07677671835679756
528	1367	0.05436511731645932
530	640	0.13134352038330208
530	643	0.1381686606692713
530	784	0.06047300171447958
530	1514	0.1458423339786597
530	2181	0.05915900771366728
534	796	0.2149195976376387
534	851	0.11721125460034527
534	2117	0.10608692806138814
536	1577	0.06487156889362017
537	1984	0.06725499962702007
547	1806	0.0679009030438887
547	1894	0.07440379183786003
548	793	0.06085526886828538
548	2186	0.06678897775384049
551	1254	0.1002780513473607
551	1459	0.2821950657678334
551	2208	0.12010868625617395
551	2250	0.11698426667412735
552	567	0.14374017914013068
554	1595	0.18288388297768515
559	1634	0.09889805618226803
559	2336	0.11977818189698515
560	2322	0.0513574162835128
562	1874	0.11147575278070596
563	1335	0.09234853498212747
567	1497	0.13727063365816508
570	1248	0.05550347904401968
571	995	0.10818219208146347
571	1025	0.10247254055099532
571	2188	0.13301364522388442
575	671	0.06358930584205713
577	724	0.05779713870145796
578	776	0.055318146634687454
579	709	0.061973643627781475
584	1621	0.08051090912594784
589	1577	0.05704870744341855
590	621	0.2084278942437972
590	782	0.2540328251281859
590	1426	0.05531862104154316
590	1743	0.07730627945137115
592	2212	0.18457817567128804
596	1080	0.06793979863515766
597	1025	0.05017887278657309
598	737	0.4899581889063166
598	1567	0.0632841509264045
598	1722	0.3228371322500933
599	1321	0.084790157467073
603	2193	0.3093937225987394
614	2177	0.1027558073849531
616	810	0.2789945742778754
616	1972	0.0526670507799223
622	1276	0.07258268742490666
624	748	0.14942413513875355
624	1470	0.1007739341077482
624	1724	0.10212387896865516
626	659	0.11626676858170182
626	1849	0.050955471436186436
628	707	0.07266310737518936
628	1472	0.055562701424201166
634	1058	0.08617498308985395
638	2069	0.0539219851050936
640	1514	0.12399122111310976
641	2448	0.11436610933404873
642	1218	0.06714442024025286
642	1571	0.10571285103809358
645	2125	0.11564575113682045
650	1410	0.069105490912775
650	1957	0.09404272657560804
652	808	0.09369939651007107
656	1599	0.07409677060663157
656	1738	0.06023324222986635
657	831	0.08160157530084035
662	754	0.1361712364288827
663	1103	0.4678767944878235
665	1926	0.28277564282017265
665	1976	0.1140910408142777
667	1050	0.05823118641590735
668	1754	0.1085535259584742
668	1846	0.05485079226143913
669	1816	0.059655326246198064
676	1714	0.09366319460198186
677	767	0.31170698013782594
677	848	0.5886456567958859
677	2276	0.11331490227483415
680	1046	0.07692208757005439
685	2140	0.2260046890594241
686	765	0.10127745688603627
686	1164	0.4145303626134313
687	1231	0.30460742628411586
688	847	0.07183667135551837
688	1478	0.09107411117442296
688	1622	0.05483365352508636
688	2204	0.08995081585759976
695	753	0.06810177574831718
696	1794	0.05675895443636603
696	1873	0.0792329857952225
698	2218	0.06324687086023624
699	1432	0.17013807256132296
700	1298	0.2624430106321415
702	2044	0.12380922621854405
706	1633	0.050232769098533095
709	791	0.09943788915675704
711	1292	0.05172906123824409
713	986	0.21057121982396265
714	1115	0.08808916947904853
714	1633	0.05598828807574771
723	725	0.12131991641767495
726	1023	0.10015430032605252
730	760	0.09144226611284084
