word_Ni	word_Nj	A(Ni-Nj)
5	18	0.3584313802839069
6	1266	0.08117110018068152
7	293	0.10223749389808973
9	24	0.2716241137489887
11	680	0.08449853517863952
12	13	0.21485081000766207
12	60	0.18667484296347991
22	125	0.1043989305131722
22	270	0.12240122569038195
22	2825	0.08971811668399904
22	2841	0.0928870394584466
23	41	0.12298730000770045
23	62	0.1262357835858789
25	201	0.1914011973096418
25	1033	0.1023385650611953
26	51	0.10829052099851524
26	554	0.08112313795760236
28	49	0.08526081345575155
28	833	0.1072618233381528
28	872	0.15407399911176692
28	1379	0.16872766844192782
28	1515	0.09948589458743673
28	1797	0.11133695951822113
28	1967	0.08840473862098852
28	1977	0.09877243544971703
28	2003	0.10664055518813001
28	2299	0.0976957229940382
28	2571	0.10163987227097697
28	3092	0.08619663781099901
29	198	0.14922716512991302
29	534	0.102477589628221
32	74	0.11624572049521778
32	162	0.12362047942583035
35	111	0.14716152909405292
35	191	0.10149369754633557
35	814	0.0850181833219151
36	177	0.12410237285375188
36	236	0.09048722919834484
36	1272	0.10179044381522
36	1388	0.12785612771350455
36	1567	0.08775311002600708
36	2168	0.08734843246906311
36	2757	0.0941566506771716
37	114	0.09093808256169432
39	68	0.1693850523286812
39	557	0.17680053133889287
39	836	0.1105034854851078
41	62	0.08511757165526193
45	2935	0.10491203270129522
47	1581	0.11312392866908125
47	1944	0.08668417726314441
48	128	0.09715541588886006
50	362	0.11108631874260178
53	122	0.12265511527739885
53	355	0.08070149388728427
55	1763	0.0919401786366183
55	2708	0.09414231827570778
57	1116	0.13394865098219713
57	1628	0.15617502142217654
57	1964	0.1378917088437313
61	314	0.09426150439215594
65	101	0.09932309701399566
65	1782	0.10266945526819501
68	381	0.12765976712490115
68	1159	0.10664646276293943
68	1371	0.12769360774892394
69	317	0.09186635107491843
70	178	0.15828891095888964
70	183	0.0966957400464862
73	164	0.11038661296054583
73	2564	0.1047815361309373
79	332	0.2125238886057474
82	2470	0.1555348125394062
83	638	0.2732925350253537
86	260	0.08576689886703577
86	340	0.09393914963892863
89	152	0.08984784462074932
89	1384	0.09275836549054768
90	154	0.09082760358213536
90	956	0.11602262449988653
91	727	0.08975824807787303
92	3207	0.08891193071933526
93	1987	0.2016089245490504
93	2496	0.14132324914521238
93	2639	0.12042347885315308
93	3107	0.136722620311388
93	3117	0.1495447815968403
96	998	0.11955571535983905
99	390	0.09025373142616988
100	1443	0.11399596694469695
103	1919	0.10199561973323536
105	212	0.12311493395380013
105	525	0.09602281055769082
105	995	0.09218928868524302
105	1262	0.11575371922979938
106	217	0.10524331106303167
106	493	0.14039704479317242
106	853	0.10009534227851004
106	1728	0.1495569121385081
111	2148	0.10571623667074588
111	2761	0.08426645558232437
115	824	0.15584329713236167
116	674	0.2400183013524184
116	740	0.1257510489681557
116	3291	0.1012302023526742
117	121	0.2849842716544282
117	238	0.10833309414261892
117	681	0.13833168367527748
117	770	0.09588350720915532
117	1151	0.10244610383181227
120	134	0.12731357356881925
120	1660	0.1265353749246226
122	355	0.2787117419623231
125	1170	0.12693405260305454
126	1644	0.08043054659942975
128	569	0.12712818589675598
130	229	0.09994335194781012
131	330	0.0896772303914383
134	1390	0.13580548960906313
135	481	0.1525203671829071
135	1001	0.1902647552783084
135	1020	0.09412965709268843
135	2746	0.10966962174070496
137	1117	0.1440441326768773
139	3380	0.09040329945661978
140	3005	0.15078097227667958
141	161	0.09637857217512856
142	191	0.21296763372227565
142	337	0.09335653604460437
145	1104	0.0932454755378708
145	1257	0.11291866313758413
147	219	0.16981744876260496
147	297	0.15630151079099064
147	1822	0.09721532621271567
147	1874	0.118897218872068
148	1113	0.14002490810315993
157	664	0.08546486289799661
160	3179	0.08304601305954495
162	328	0.11669109801927435
162	664	0.12628176520428086
163	281	0.08890086607158541
164	2039	0.11319958503396335
170	864	0.08640113955704391
173	231	0.114126975302673
173	330	0.1063649744715598
176	790	0.08200124245295598
177	1752	0.1366924433276588
179	1266	0.2298499214342379
181	880	0.09589908708371744
181	881	0.18331110895570404
181	976	0.08005050056135374
181	1619	0.12450010022867852
186	716	0.09295155428221008
187	1270	0.0848195674657029
189	226	0.4310630900534225
190	253	0.11026553052510107
193	208	0.0880325708289146
195	1915	0.0896456257996868
195	2850	0.12099241870260888
197	356	0.15180500316162046
199	2781	0.12808279121545066
207	509	0.12287696453124056
209	1366	0.0805476214418998
209	3401	0.1617236196242295
210	1947	0.15244928058547855
210	3069	0.1074637220109724
211	1904	0.15841956561236467
212	525	0.15178419513375405
213	896	0.16052577939147486
213	1067	0.1522695710007457
213	1712	0.12323287062899245
213	2202	0.08790896597853297
213	2510	0.1274505323151044
213	3370	0.08745769449747935
215	2986	0.09344693072321733
215	3001	0.0939771603226622
215	3468	0.10435827920703288
216	319	0.11424402019678975
217	3504	0.08776417635444564
218	707	0.1090995756489324
218	3460	0.08428946655056661
222	328	0.10490774491429188
223	625	0.08436071035623814
225	1116	0.12159638122333435
225	1132	0.08689058160134477
225	1394	0.10971998196029484
231	330	0.2302250857939277
235	805	0.08032049674793014
236	1388	0.1956129002451369
236	1752	0.10217981885270604
238	681	0.1251852914533147
240	2409	0.08662793253791913
240	3496	0.14947901551719506
242	2136	0.14859465100788324
249	255	0.6879328172165106
253	1190	0.08612881140929693
254	474	0.08304282891512071
254	2751	0.14768348507248738
261	642	0.08832489078822645
263	1676	0.22917020180060524
265	1910	0.09734438079918864
266	3435	0.10094660663590604
268	727	0.2606256806472533
268	1472	0.09351457128124124
275	744	0.16592418842848006
275	1647	0.19240357099011604
284	3138	0.18200863781220755
285	337	0.3494980862406272
285	421	0.14306163380965953
290	2185	0.08043844639923824
290	3320	0.09092890551696284
293	362	0.135661935934039
307	1026	0.15481583560404152
308	3434	0.0885794009325514
310	1410	0.08014632968269073
313	2094	0.11745744406452803
313	3384	0.10126124422032608
316	1169	0.13898563773331307
318	636	0.4192470942655341
326	2189	0.08655148406257407
327	383	0.19170549444232185
327	503	0.1222408011885814
327	910	0.13429451976719015
327	1959	0.15910181040857155
327	3173	0.10792498806869424
329	1342	0.10082253837294723
331	476	0.09608099882839599
331	901	0.35868848869145825
331	2099	0.15581346263296414
337	421	0.0943237848731312
341	1248	0.11423928848690865
347	2711	0.1802903943613589
349	679	0.10127411593808572
358	2296	0.1477086350325976
365	3103	0.1991320116215232
379	403	0.1482478809615168
379	715	0.17526621287457106
379	774	0.09105970049044224
379	1245	0.08835261872733548
384	874	0.4190271023578934
384	997	0.08398502214803058
388	918	0.12743412362132106
390	3496	0.09501441619032944
391	2086	0.12486535726297708
401	2137	0.11829145587348815
403	1245	0.12268582249268654
403	3327	0.08870914310096452
410	1399	0.08871507708756217
418	2405	0.1090948050059738
433	647	0.09885290620843573
435	866	0.10001294568691696
437	2965	0.10320859370749844
440	790	0.10493555279993114
441	889	0.24491738863365026
441	1233	0.3203532611781192
